Handle,geometry,divide and conquer,interactive,bitmasks,string suffix structures,dp,hashing,brute force,binary search,number theory,graphs,dfs and similar,combinatorics,expression parsing,fft,schedules,trees,implementation,2-sat,chinese remainder theorem,matrices,strings,meet-in-the-middle,shortest paths,ternary search,*special,sortings,probabilities,data structures,graph matchings,games,flows,greedy,constructive algorithms,dsu,math,two pointers
Agnimandur,72500,123300,112000,216700,18200,633900,69100,517100,384100,263600,311200,267100,181100,1600,18200,1700,180000,710900,11900,7300,17200,202600,7600,90600,44500,11100,393200,86100,534700,14500,35800,25100,1053500,581800,90800,904900,220800
924844033,0,6600,0,0,0,20200,1300,8100,1800,12000,3500,2100,16700,0,13200,0,0,3000,1900,0,0,1300,0,0,0,0,5400,0,1900,0,0,0,3800,5800,2100,25800,1800
JaySharma1048576,23300,15000,63900,94800,7100,244800,25800,235300,175500,155600,122400,84000,85400,0,2300,1700,46900,278100,3400,0,11200,79500,0,35700,10800,9900,161200,9200,163000,13800,34700,8400,451700,340300,43200,496700,96800
AlexFetisov,131000,117200,54500,193200,73100,934800,90100,503300,431700,229800,437300,367000,249000,8500,17400,2000,300200,731800,14900,2000,37600,233900,12500,101300,28400,26400,407900,91500,732000,37000,72200,76700,975400,600800,162600,828100,256000
ChinmayKarnik,11600,34700,6600,71000,14900,237500,19600,162800,140300,73100,124700,97200,73400,0,0,3700,65100,220100,3400,1000,5800,63600,0,35100,7800,5000,143000,17100,182100,3900,19300,1800,355200,223500,29200,300000,103100
kkksc02,9000,3600,0,14000,0,65300,7000,124500,35400,56400,11800,6200,21900,0,0,0,3800,185300,1500,1000,0,56700,0,5200,4900,800,77300,0,35200,3700,6300,1800,210200,98500,0,225300,24100
misty1999,30900,20200,21900,68500,1600,228600,8900,229100,158200,137800,111900,105700,96900,4500,6900,0,52500,368800,1900,3200,8000,106500,3200,29200,14800,0,209900,11900,164800,8000,26600,13000,476700,297200,32200,524700,110700
0x3F,179400,199200,131100,564500,77200,1821700,226300,1062500,817900,627100,1052100,851900,410300,8800,36400,5200,601800,1272400,20900,21200,74600,441800,24900,266200,78600,41500,781200,116500,1399500,54600,108600,61700,1745000,1337900,322600,1585100,408600
TonyEffe,0,1200,0,0,0,11500,0,6300,12300,3800,4600,3300,3900,0,0,0,0,5000,0,0,0,3000,0,2100,0,0,14200,0,9200,0,2000,0,13000,4000,0,24200,4700
rehan_amaan_how_so_good,2500,3500,5500,10900,1600,35800,16100,45000,25000,19300,19300,9400,14700,0,2400,0,5000,40500,1900,0,1600,11500,0,5800,2200,0,39100,1900,44400,0,800,0,60400,33000,6000,56900,20900
yash_daga,55100,102000,77000,208900,10100,741300,58600,563500,395400,292300,361600,322600,228000,4600,32900,2000,232200,664700,15400,9300,31800,193600,5500,105600,25300,6600,386000,72800,580300,29900,64900,27500,1064900,638300,119200,942200,238200
limabeans,187900,242400,218600,563000,69900,2321700,169800,1438700,1291800,828000,1074200,998100,624600,8600,49400,2900,754700,2160700,31300,13200,127800,643000,33100,263600,62800,57000,1069500,161800,1877100,65100,170200,62000,2795800,1559600,345900,2448100,624500
debrup1201,24200,11800,30400,41900,3300,179800,9200,234900,128400,114400,83500,67200,42900,0,2000,0,40600,361800,5400,3000,0,97600,3500,20500,9800,800,145900,4400,130800,4700,31900,3800,450000,245600,23600,398200,71500
Charbel11,10000,51900,19400,71600,8500,227100,16400,167800,145300,74300,152300,153700,62500,1600,4100,2000,156200,250300,7600,0,20700,64700,2900,51400,4400,1200,149700,16600,228900,4400,16800,4500,393400,194900,41400,297200,91500
hateiit,4100,5200,1700,10100,0,63900,1400,42200,43800,38400,43100,28600,11300,0,0,0,20100,64700,3800,0,0,13200,0,0,2400,1000,53900,3100,39900,1800,6900,7800,126000,68300,22600,94800,25400
arT_pdx,0,3400,0,7000,0,70500,3500,69800,36300,32000,16800,27200,7300,0,0,0,18500,98600,3800,0,4800,21400,0,7500,0,8600,69500,0,31200,1100,2700,0,143000,78000,3400,138500,24100
pubgoso,29100,29000,35000,71300,3600,275300,16200,266400,158800,148100,129800,129400,88600,1600,4200,0,94800,463900,1900,0,3700,102800,10600,34600,10200,1200,204300,4300,275700,1800,6600,3100,523600,261000,48300,465300,88000
Unpossible,24800,4400,14600,54100,1500,261200,16300,241800,138100,106800,63200,53300,52700,1400,1900,0,41900,451400,1500,1000,1600,102900,0,9700,15400,9000,196700,9500,151100,4100,23900,6700,532100,271000,17100,506000,91700
gyuni,29000,5300,3900,21900,0,43500,6200,50600,52800,18900,38300,23100,27700,0,0,0,12600,74200,4200,0,0,19200,5100,10000,1900,1400,46300,2000,29600,0,6600,3700,80800,54600,8000,92800,16500
danielcm5583,6200,10800,8800,19700,0,60500,3100,68000,37900,32200,24600,19600,18100,0,0,0,13100,75600,0,0,0,26400,1800,7100,0,0,38800,0,53000,800,2900,2400,118700,64300,5900,99000,24200
DarkVoid,21100,24200,17800,56600,0,182000,14200,221500,117900,80800,83200,75100,40900,0,2000,2000,57600,275300,7700,2000,3400,63300,0,19400,6200,1500,145700,17000,137200,5700,43800,10000,356600,218500,29100,319600,92500
Pandemic,23900,25300,46600,84600,7200,276500,14900,183800,209600,88000,124100,123000,48400,1800,0,0,97700,246600,3400,0,8000,71800,0,42900,14800,11700,190200,11100,237300,7500,27400,11800,402600,245600,27800,322900,105400
aaaaaaaaaa2230,5800,6500,8400,14900,0,103600,2900,102300,45500,30900,38800,34500,12900,0,0,0,22700,84100,3400,0,0,18900,0,11400,3900,3000,56600,0,61800,3200,9600,0,162800,85000,4000,130800,42800
mkawa2,24300,32700,56100,99800,3900,328000,21000,296500,199000,132900,150200,124800,76500,0,6500,0,80700,330500,12200,4200,9700,91500,4700,64900,19300,2700,212000,18000,223700,12800,36100,23100,564800,415800,35400,467900,137100
arnbt,7100,1800,3300,13000,1600,100700,5100,106000,55800,36800,37800,39800,20000,0,0,0,26900,177000,0,0,2200,39400,1500,6900,2800,0,77100,1600,70000,4000,12900,1800,267500,118300,12500,204200,48100
AvinashKartik,65900,67300,81500,249300,24200,848900,74300,583900,450100,350300,423200,383600,228900,6500,13400,3700,299500,900500,9600,13900,41100,256600,23500,123700,34000,3000,508900,39100,630800,24200,84200,25200,1283100,754800,123600,1144600,275300
DOOM,63500,51400,8800,100600,14700,567200,36700,395600,283200,236500,251100,236700,141700,3400,29300,2000,174500,607100,5400,20500,9700,163500,8300,71400,20000,4700,307100,28300,374600,9200,37000,18300,778600,396100,80400,676900,173400
shop_one,3300,0,0,9300,0,67600,3100,79400,45400,30000,23400,14600,24400,0,0,0,11000,115700,1900,0,0,19800,0,7000,2900,16500,50900,6100,39600,2900,5000,1800,162000,71000,3400,156200,18400
tarattata1,35600,38000,30700,89700,10100,305100,33100,231400,174500,134800,158100,148500,104000,1600,4300,0,103700,352600,5400,3000,12000,100800,5000,45200,21300,0,202700,18100,221500,1100,28900,8400,589200,358000,48400,476300,122500
is_ffacs,32400,18600,21400,65600,5400,294900,18900,217400,155700,129700,108800,81800,82300,0,7700,0,63200,328600,1500,3200,8500,83000,6200,27400,14700,0,224300,17400,230300,7300,23100,6500,511700,287200,38400,487500,98600
fairy_lettuce,11700,5200,15100,26800,2400,92300,8700,65300,46400,47900,47000,28600,25900,0,2000,1700,26200,102900,3900,2000,0,26100,0,20700,5700,0,60900,4000,52600,5000,13900,3800,179300,120100,12800,158700,35600
