Handle,geometry,divide and conquer,interactive,bitmasks,string suffix structures,dp,hashing,brute force,binary search,number theory,graphs,dfs and similar,combinatorics,expression parsing,fft,schedules,trees,implementation,2-sat,chinese remainder theorem,matrices,strings,meet-in-the-middle,shortest paths,ternary search,*special,sortings,probabilities,data structures,graph matchings,games,flows,greedy,constructive algorithms,dsu,math,two pointers
Geothermal,113100,142800,150000,283300,51000,969600,119700,672900,485700,330900,509900,448200,309000,5000,56300,900,345700,859400,15800,7800,37000,266600,24000,144700,37000,80400,472900,104400,741100,34500,91900,37700,1283700,883300,138200,1156400,298200
tourist,155100,263600,80400,312900,71900,901100,106200,539300,334500,263800,615100,487600,291200,25600,126400,2500,488700,594500,6500,25400,49400,225800,30200,117900,15800,254200,311300,157100,772000,70400,93500,167700,829900,544500,150200,972700,171300
neal,448000,877100,380900,1069700,307900,2961000,496800,1642400,1262900,864200,1359500,1086900,897400,16900,341800,0,1655700,1194600,93300,42600,168700,730600,58500,347300,75700,22500,824000,635200,3558900,233800,168400,403900,2234800,1316200,409400,2685900,691400
dorijanlendvaj,84700,90300,90600,163900,23800,576000,72200,460200,312900,208600,344600,238600,165500,1800,24400,2000,181700,655800,11300,3200,27300,151700,9400,61100,24100,34300,309900,71500,494200,23800,38700,27300,826700,473500,101300,759100,149000
gamegame,51900,51900,39700,102400,8400,288700,29100,188600,109400,119800,201800,156300,122300,3300,24700,0,159400,347000,5900,10000,10300,73600,9300,42700,2100,54900,150700,34100,282100,14800,23100,10700,352000,291200,61000,391400,80200
Maksim1744,138700,162700,145200,297500,32200,915600,69800,526200,384800,323000,436200,347200,275600,7800,56700,0,313300,643100,18900,16200,47300,255700,10500,99200,20300,144700,363100,95900,784400,46800,84100,79200,973200,721200,112400,957100,200300
qinyihao,25300,11300,23600,33200,4200,188600,23400,126600,95000,69400,78800,42200,60600,3400,9000,0,35500,178500,3800,0,4600,34900,0,21100,4100,26000,93100,19600,147100,16700,17600,18100,200400,142000,21700,231600,45600
kort0n,66200,64600,81200,141100,9800,493000,42500,359100,286800,154200,280800,225200,157200,1600,16800,0,177700,453700,13800,5200,24400,115300,9300,54000,23300,0,284400,58800,355400,34000,45200,22900,758800,516100,60600,610500,162000
kmjp,392600,321600,237900,624600,115100,2430200,280600,1565100,1075000,758700,1222900,1090900,711100,13300,89900,10200,927500,2315400,31500,19100,135100,663700,57200,307200,73800,80300,1000800,267200,1875000,92300,186900,133200,2592000,1643200,365400,2562500,573700
RioTian,13600,5900,0,17400,0,102600,5400,143800,56300,58800,18100,12400,24400,800,2000,0,14200,274000,5400,2000,0,56300,0,11400,2400,3000,124600,4900,46800,4900,17900,8000,267900,127800,2000,306000,35700
SSRS_,90600,108500,76900,211500,24300,794000,81100,534100,397100,264300,376300,336600,254300,4800,40800,0,256400,647900,18000,11500,38200,209700,14700,93900,36200,7900,358200,68900,563400,34700,67900,45600,977100,678600,142600,914100,222500
BigBag,212100,163300,147300,314100,108100,1301700,181900,815000,630000,503800,816800,637900,360400,25600,99200,1200,588200,1333800,28600,9000,72400,436500,31600,196800,34300,99400,560500,197700,1151200,67000,94400,115900,1420600,901400,255800,1439100,275300
galen_colin,58400,67200,87000,200100,13700,724500,76400,552300,367400,235100,352400,347000,188600,5900,30600,0,264300,759500,12700,9600,34400,213600,26100,95800,23200,81200,424600,74300,661200,14900,47900,13400,1014400,623800,152700,916200,237200
hank55663,222100,218000,189700,413400,66400,1473200,155700,982300,729100,483400,799300,645700,443700,7400,75500,0,589800,1344700,24200,16200,78700,435300,32500,206400,54900,11700,681700,158000,1187500,72500,88800,116500,1781500,1169200,235200,1613400,396000
liupo,7400,5900,9700,26000,2900,78300,6400,99000,46000,52700,33900,30600,27800,0,0,0,20400,116600,1900,0,3700,28700,0,8400,7700,8600,53200,6800,69900,3700,9600,1800,159700,107800,8100,163000,32900
dnthakur4399,0,0,900,3100,0,8300,1600,16200,4200,10900,1400,1200,5200,0,0,0,0,16800,1900,0,0,4300,0,0,0,3300,9700,0,4600,1200,1200,0,17700,21000,0,31400,3000
dreamoon_love_AA,349600,257100,147500,517800,82500,2252900,234700,1589000,1048300,741300,1117400,1028700,693300,44100,55100,8600,688800,2635600,34800,31200,115400,696400,68600,287900,73200,143600,1055200,219500,1566300,92200,194200,124800,2625100,1608300,354900,2621000,521400
AnandOza,144000,213700,105800,196700,65600,849700,86500,562100,407600,370600,373500,426700,342900,3000,73400,0,331400,774400,31300,3200,64800,266300,12500,124700,27300,23200,426000,163800,829100,13200,58500,8800,1011900,602100,192000,1247400,279900
kotatsugame,102200,75400,78100,166400,22000,662900,62800,515000,387800,222600,360100,286800,205500,1400,18500,0,239100,703900,11500,5200,25200,204500,15400,80800,25000,800,392500,36300,548800,21900,40100,23900,989800,610800,112600,853000,234400
iterater,24200,41800,17900,55000,27100,220500,16100,154800,89100,86000,105800,104000,59100,0,12300,0,117300,149100,5400,7600,13600,71900,0,27200,4300,2300,109100,28500,237600,800,12800,9200,278700,163200,27700,280800,58600
dlalswp25,86800,75800,77800,198400,28000,622800,65400,441400,346600,214100,332200,272300,237600,0,22000,0,217700,537900,18200,5600,15600,156900,13700,82000,26200,20300,339700,45700,530100,34600,55700,25200,863700,634000,104700,730600,214000
timmyfeng,203100,233200,158700,353300,68500,1378200,148700,741400,645800,404700,769200,610200,410100,8200,93500,0,597000,1015000,27800,14200,82800,378100,20000,174900,38800,73200,565500,142700,1170600,60700,115100,104100,1530400,972800,237700,1399400,351200
Ormlis,87200,105100,112500,208000,38800,692200,72800,465000,373400,240300,403000,310600,241900,2100,30400,0,267700,554900,18700,7800,24400,171600,25700,127800,33000,22500,354400,43100,646100,30000,72800,34200,941800,671300,90100,784900,238800
74TrAkToR,50800,75700,23900,80500,9300,284100,29500,215200,150200,96900,144200,117500,82100,3000,1900,0,136400,397600,1900,1000,4300,133300,5800,38200,13900,19900,207900,10500,279200,6600,14100,3800,471300,246200,57300,385700,95300
krijgertje,445400,421100,270800,626000,172100,2545600,267800,1404300,1103200,741300,1355200,1055400,757500,19800,284200,4500,1116800,1964300,67100,34800,202100,682000,76000,342000,62700,299000,912900,316100,2272400,129500,194300,224800,2286700,1590700,378500,2521600,495200
KrK,358200,277100,165400,557100,113900,2400000,265100,1427400,1075600,714300,1253000,1083700,661300,44400,78000,5400,867100,2163300,28100,17000,140700,665100,56700,329500,76200,114700,990600,274700,1829700,89300,216600,139300,2410200,1490000,402400,2308100,521300
wifiiii,73900,115500,74500,204000,19900,633300,60500,510900,350600,277800,331000,266100,242300,0,37900,0,217000,581900,5900,7400,14000,174100,13700,72500,18000,54100,330300,86200,603000,11800,44200,28400,887500,543800,101600,923400,190800
Shanks,128800,141400,119300,281900,35200,986000,93000,659300,497100,312000,529800,510200,265300,4200,14100,0,419400,1017500,27100,9000,42100,297800,22700,159200,31600,41100,472800,87200,821600,28200,90000,48500,1195500,717800,188800,1037700,289600
turmax,60400,78100,86600,161200,14700,518900,37000,386100,276800,227400,279000,239300,188200,0,12700,0,167700,430900,5700,7800,22200,150000,14700,70500,29600,27000,284800,53600,380300,32500,52400,29500,709100,486900,80100,665800,189200
Lawali,110700,112600,98300,240000,21800,748000,71300,519300,390100,265700,381300,310200,238900,1600,41400,0,241200,746300,7800,7400,28200,210400,9900,105600,29000,2000,411800,53600,677200,25300,42900,38200,1084100,645800,111300,959100,227500
khikiat,2800,1600,6200,15300,7200,45300,7200,38500,33000,13700,25200,19700,16300,0,0,0,12400,51900,1900,0,1900,12400,1700,8700,0,0,34500,4200,16100,2100,4000,0,68500,42400,2400,58300,28600
Vercingetorix,192400,137600,168900,265800,57200,1112700,122200,722500,559500,401700,623600,548000,369500,8400,29600,2000,401700,1069400,25100,20400,58700,322100,29300,156100,30000,95500,525900,135800,863900,49600,117800,66000,1300900,957700,173600,1306300,253700
_overrated_,118900,154000,134600,239800,24500,858900,87200,648400,482100,396500,471700,439900,275900,11700,19600,0,345900,1041000,15500,7100,60200,299300,18400,152300,39800,40100,431500,100900,768700,49100,67900,49300,1185500,738500,191800,1196800,239100
Nyaan,37900,53800,14500,92200,3300,253800,28500,163600,84900,99400,131000,78100,154000,0,72700,0,60500,153100,24300,7000,15600,55800,0,13700,15900,0,112200,65200,230700,39200,21400,19800,302400,236900,40900,406600,68800
prabowo,64400,93200,62400,141600,11000,464100,31100,288000,208100,186200,214100,153900,202300,1400,178300,0,141000,422600,7700,10400,21600,126400,4500,45800,18800,48300,172300,53800,303400,7800,70200,31600,502200,387200,46100,663200,121700
rama_pang,93400,116100,111300,202100,18900,752800,46400,366700,364800,166400,374000,343700,223900,1600,28400,2500,286800,494400,22300,3000,36600,167000,17600,118700,24900,98600,367500,72200,675700,30000,42700,59900,821700,531600,126400,748900,187500
mango_lassi,63300,129600,121100,239500,24800,722900,66400,435100,331000,234100,416200,320600,239400,2600,33300,0,307500,556500,15800,7700,29300,190600,20000,114100,26200,21600,328400,76300,552300,59600,48800,78600,888500,619200,119300,773200,166400
LayCurse,104300,116400,111700,305200,69700,1134400,104300,715300,566400,348700,551500,493400,365100,3900,42700,2900,307000,930700,22200,9200,26000,266300,27900,159200,48900,5000,527800,102500,790000,35200,106400,55600,1501800,963500,189500,1209300,317000
BiriBiri,0,0,0,0,0,15400,0,14200,6800,7500,7400,1700,5400,0,0,0,0,10200,1900,0,0,3500,0,2400,0,0,10200,0,8000,0,0,0,16900,10700,1700,19400,1800
h__h,68300,16900,23300,105400,46000,400200,83500,619000,310700,303900,185100,146900,129000,6700,3900,2900,62200,1124500,5400,3000,13500,252800,6600,48500,16200,56600,382700,15600,257100,9700,45900,13000,965600,473000,49800,990000,167600
Tlatoani,58100,84300,135600,206700,28200,675000,53500,391700,348700,208000,299700,279800,199700,5200,22400,0,228700,508400,13500,8200,21600,170600,19800,85000,19700,143000,325600,81600,564900,19100,43300,30900,841100,555100,96100,754700,223600
Andreasyan,154000,180900,141500,404500,81000,1529800,180400,851200,756300,455500,814600,726100,446900,12700,34400,2000,638500,1142000,29000,14000,68400,412700,32100,221400,63400,124300,622400,181500,1357100,48800,124500,57000,1589200,999900,297600,1417900,386800
chelik,0,0,0,0,0,13600,0,4900,5600,4100,6600,4100,5000,0,0,0,2000,2000,1900,0,0,0,0,2100,0,1700,10300,800,3800,2100,1200,0,8200,4000,0,10500,5600
armoking,56000,130400,50600,269500,14600,525300,57800,598200,349600,258600,440600,337900,121100,4500,119500,2000,259000,741400,15400,4200,24000,205000,9700,107100,31400,115700,340600,41500,744700,17300,28900,15300,878600,446400,147800,759200,181600
Baraa_Armoush,112900,148000,68800,284200,21800,1199200,93900,683100,539800,469300,467200,535300,416100,3000,26800,2000,490800,997100,13700,9500,64400,296500,30000,137500,29000,14400,496900,123000,911500,21800,99800,26600,1278800,676000,184700,1272100,315400
nishant403,90500,95500,50700,221800,18500,623500,60800,373000,337800,216300,278000,259200,164000,1600,38100,0,183500,538600,7700,2000,30800,160800,11200,68200,21500,4900,332100,84100,549100,16200,40300,23900,736900,438200,85000,681200,151300
Heltion,84300,86700,50200,160000,45400,560300,58600,412100,307900,205000,266800,193400,162900,1600,31000,0,179800,613600,12100,6400,21600,190200,7000,80500,25500,148300,307200,40300,463400,21300,42100,37200,803400,428200,73400,759100,179000
mban259,84600,93000,71700,197300,14500,812000,63200,667800,433700,340300,348300,311300,235600,3000,40300,0,228100,1086300,7700,5200,39000,298800,16800,108800,41600,49500,493900,34900,576000,7700,62300,16100,1336900,685800,113600,1206700,272300
evenharder,21000,23900,27900,62800,8100,218200,31600,194100,123600,98900,112300,98900,71500,1600,18300,0,70500,259300,1900,3100,9400,75900,2200,19200,10600,0,139200,11700,132100,2200,14500,7500,352000,214200,36200,327400,46100
Bench0310,161700,209100,131500,358200,63200,1246600,124000,778900,566500,397500,646500,601700,284700,3000,44700,6500,558600,973700,19900,5600,60400,292500,25200,164500,42900,210600,610600,83900,1200900,46700,110400,45100,1434800,880700,200300,1261000,373000
koboshi,17400,6600,24200,47500,3300,183700,15300,183700,108000,117200,121100,104100,69200,0,2300,1700,51600,249800,5700,0,2100,80800,0,34600,17400,74600,146300,16800,128900,1100,30000,3600,422800,275800,22600,403600,83500
snow39,39800,66700,33400,118100,12300,407000,41000,259100,206200,124800,198000,190100,132500,1600,11900,0,148500,339500,5800,2200,8600,117600,6000,61200,13200,0,248600,32700,313700,12400,28000,21600,604500,313800,71500,453700,118400
leaf1415,148700,183400,155400,361600,44300,1401500,120300,904200,687900,439600,743100,653600,430900,11000,48800,0,516200,1308400,27800,19800,83100,403300,27500,186000,46300,11900,677200,155500,1073200,37800,109200,84900,1709400,1084900,228400,1560500,412100
sansen,195800,371700,147100,512100,83500,1706700,184900,893300,685400,558300,714500,672600,491800,8200,96900,0,660600,1013000,44200,7400,151400,429700,38200,188000,82200,9200,674500,232600,1576000,62200,112700,87400,1553100,862900,358500,1641000,406200
Devil,169300,377500,85000,645400,205100,1666000,285100,1016800,782100,595000,866600,960900,501700,1600,244300,0,1148100,1152800,12800,22700,54200,473800,40200,280100,59500,19600,544300,293900,2087000,59700,51500,102600,1489500,792200,415100,1448000,394000
ttttan,97800,120300,85800,206700,14900,684100,67000,549700,350300,266000,333900,335200,247200,3400,29500,0,216800,662700,10700,10800,30500,207700,12600,74700,35200,2000,361600,59400,537400,18600,78300,23500,992600,656200,113600,900700,219400
wnsh,16300,14500,12000,18600,3300,88300,9200,53700,43900,36400,54500,45900,37900,1800,5100,0,35500,71300,1900,0,0,31200,0,10500,9800,0,60600,4700,54300,6700,6600,0,139700,80700,14300,111900,32500
ANZ1217,30800,27500,50300,106100,9500,330700,28100,294300,192900,147600,215300,218600,112500,4800,4200,0,109800,434400,4200,1000,12000,125600,5000,64600,17600,3000,228600,9400,262200,6400,52700,7700,677000,361200,59900,544900,134100
lrvideckis,103900,153600,95000,258000,25500,1021400,99000,670900,542500,366000,547100,582500,343800,5800,28900,2000,520400,1081000,20000,7600,40700,318000,24800,136100,21000,11700,511300,54200,984200,44900,50700,26500,1213100,752100,228000,1140100,290900
StarCuriosity,82500,76000,49200,139600,34100,777900,88100,453100,422600,250500,375900,358600,240900,9000,9800,2000,280400,698400,8000,5000,40500,228500,24400,105900,31900,31600,336000,60200,592500,18700,47700,35800,865700,470500,138800,761600,175900
emthrm,95600,94700,105200,233700,27600,806400,86400,583300,419100,296700,408600,364800,260200,1600,34400,0,276000,780900,28400,5200,38900,230900,7600,111500,37400,59700,456300,81900,633900,40600,68500,38900,1194600,734600,123700,1044500,271000
froggyzhang,263300,354700,358000,532900,106000,1845600,179600,973700,740300,550500,996400,747700,603300,6800,152500,0,815400,1036000,36600,16000,87800,350400,45900,240700,31800,62900,685800,229500,1669200,108100,150700,176300,1684800,1320500,276900,1835400,427400
gazelle,28600,34200,31500,94600,3300,246700,19000,196700,129500,105300,133300,134100,91000,1800,9100,0,103600,307900,4300,1000,6900,101700,3900,27800,11200,2000,145500,33400,180600,11900,19400,7900,368000,246900,50800,361100,69600
tran0826_1,71900,94400,56400,171500,30900,690800,54100,454900,370100,228000,387100,308500,214500,1600,34300,0,225500,633700,16400,7000,40100,201700,9200,107500,29200,0,385200,47700,583800,37400,35700,44400,1022800,525500,129900,803100,216300
bry_rp,29800,41600,32100,98100,11900,421200,45200,318900,232600,145600,211900,193300,103800,1800,4300,2000,146900,453400,11600,2000,10300,128400,1400,59800,24900,10100,270600,16700,355800,11600,34700,8000,690400,433000,76000,536800,156800
anmichi,26800,26000,31800,115800,3700,443100,36900,384300,247500,168800,196200,149600,128300,2900,9500,0,97100,493500,3400,4400,5400,141200,8300,62300,20400,22300,280400,17300,295600,10700,41000,14800,744800,391600,48800,649700,147400
IsaacMoris,252300,107700,67100,241000,46700,887200,109200,695500,540700,400600,451800,375300,350300,12900,29700,0,249400,1093300,13200,21500,32800,337900,21800,144100,52500,9400,486600,111000,694800,29500,48300,31300,1166600,643000,147900,1213900,237800
ei133333,125100,187100,53200,270700,51100,1058900,92500,602600,406800,287400,515300,463600,292600,7600,46200,0,414700,949100,23700,4100,47800,312600,14800,130900,25900,2500,418200,120100,844800,34300,58500,70000,1072000,548700,173400,950300,209500
IgorI,85000,104200,131000,211900,21600,628400,43800,469900,310700,246700,328700,281000,177300,2900,30600,0,218300,792500,10800,7300,46400,172900,18800,94300,35800,71100,276700,48600,447600,27500,72100,35400,720500,666800,94600,822100,176700
CoderAnshu,86600,110200,39800,196300,37800,632400,62200,434800,341000,281200,390300,383900,261700,0,66200,1700,330600,713200,29200,12400,34200,191700,5500,91200,39900,11900,328100,89000,575900,22800,51200,44100,758500,471500,137400,879800,185300
MoonPie,24500,9000,27500,66400,43700,199100,29500,162800,117600,63400,81400,59500,84100,0,10200,0,39300,134400,4200,2600,34600,89100,2600,28400,6600,0,127300,10600,167500,6500,29500,6200,230300,183100,24900,225200,91000
HIR180,111900,124500,48700,246200,66000,944800,84700,453700,320800,306600,442600,333300,321700,4800,51500,3200,380400,585400,12800,16900,46000,171200,14400,93000,21100,10900,265000,156500,902100,40300,74800,58300,736200,520600,209400,865100,151600
minato,86600,151000,45700,173400,68100,557100,106700,381400,356400,215300,314900,288800,222300,3000,22100,0,225400,526200,11900,3000,20900,228100,7600,75500,31300,2300,349700,48800,533200,24200,46300,44400,842600,500400,123900,739600,215500
Igor_2017,187600,67700,84100,231900,21300,1076400,97600,1224600,663200,482400,518100,519200,329800,29200,3900,2100,288200,2429700,13200,7000,25300,523000,25800,147300,44200,93100,791100,70400,750000,13500,105900,32300,2049700,1052600,171900,1907800,339800
zykmd,82700,157500,136600,243300,29900,821900,72500,365900,296700,214700,450800,399200,319500,0,32200,1700,398900,329800,16400,12700,27700,129900,28000,95600,17100,15900,263300,146100,747700,24600,45700,43000,658300,516100,178600,718000,183000
Marckess,200900,258600,148400,415400,104900,1524700,176100,916000,711800,541000,825100,687300,463400,3200,97400,3200,613600,1258400,23600,18800,77400,426300,36400,214200,52300,19400,604300,183900,1339600,64800,128300,94400,1633900,1072000,243700,1575800,408500
AYinGe,0,0,0,0,0,4600,0,7100,1800,2800,1400,0,3000,0,0,0,0,6400,3800,0,0,3200,0,0,0,1600,5300,0,1900,0,0,0,7600,6300,0,10900,1800
tramvaychik777,1500,0,6100,9500,0,14600,4500,14400,12200,13700,3800,0,8500,0,0,0,0,10800,1900,0,0,0,0,1500,0,0,13100,0,12000,0,0,0,14900,9800,0,22200,7000
jdurie,99100,65100,80700,175400,23400,597700,46200,461300,335300,231900,320100,298100,175300,0,13500,2000,215900,717600,13500,3000,29400,187800,7100,86400,28900,5300,371500,25700,441100,16700,56600,16200,1016500,618000,102600,895200,206800
_tryhard,52800,66700,49100,135300,24200,292900,39400,228500,165400,130700,170500,137200,154200,2100,27700,0,125800,201200,11100,3000,27800,88200,7200,46000,17400,27700,125600,40100,241700,10900,22500,19800,299900,262900,63500,369600,116500
codingnight,0,0,2000,0,0,9900,0,10500,1800,9300,1400,0,3000,0,0,0,0,4700,1900,0,0,1200,0,0,0,0,5300,0,1200,0,0,0,5600,9500,0,14800,1800
kzyKT,66400,35700,38100,141000,4900,532400,37000,566400,313000,230000,256300,236000,141800,4400,6200,1200,145200,986100,14000,6300,11600,228400,8900,73800,20300,8200,394500,17700,382500,5900,49500,8600,1033800,595100,76000,885800,197700
Denisov,46800,81900,32000,105200,13100,370300,32400,316700,174200,155500,159500,163000,109700,0,7100,2000,172200,419500,1900,1000,3900,113500,10200,42400,11800,17200,206200,7100,363500,13500,20200,13200,557200,267200,61500,499000,121000
parasat,32200,75000,23500,128400,11800,453400,34300,288400,174900,156000,215000,229100,128500,1600,7700,4000,178900,460300,11200,3200,17900,111100,24600,64700,15100,10900,204000,44600,373500,13300,25500,16500,465900,279600,99800,464400,113400
UnstoppableChillMachine,89500,96200,73400,209100,26800,747300,75700,469000,390200,203500,386200,383900,180100,5800,6600,16000,332800,692600,10600,7700,10000,245300,8800,105600,26300,39500,303400,85200,702600,41400,44400,32400,779000,597200,138700,684700,169600
16silver,13000,2500,3800,9700,0,32700,3800,44500,25400,18400,16500,16100,29800,0,2300,0,8500,68300,1900,0,0,21500,0,0,4900,0,12100,3800,31900,4400,3600,2200,72000,49900,5900,75500,13100
forget__it,15300,26500,4200,79300,3300,279600,11600,215200,151200,135100,167500,144700,86000,800,2000,1700,127400,341000,3900,4100,13000,73500,5100,50300,3900,0,179600,18900,230800,7800,13800,11800,415000,194800,70600,413400,74200
WuBullMe,52300,89100,86100,175600,20500,682800,63800,497700,423800,190700,431400,399600,126900,5600,3900,2000,282700,933500,16300,2000,10100,242100,16400,131700,26100,44000,396100,15900,637500,20700,50800,26100,1043300,565800,169600,729700,211300
p_ce1052,4700,8000,3300,18900,3800,155300,12000,133300,68800,44600,81100,63300,27500,0,0,0,39200,199700,1900,0,3800,51300,3600,27100,2500,0,125400,5800,101700,5300,7000,1800,284500,111200,18900,206900,47500
meowmeow321,50300,89400,18500,110100,26200,420300,45000,218000,179200,130800,182900,160000,116000,1400,26100,3200,152300,313400,4300,2200,15400,83600,8000,36700,19100,14800,152200,69600,348900,11300,18000,45100,342200,186700,60100,412100,62700
rfpermen,139600,126900,68700,243100,37500,1005300,113200,773400,556400,365500,436600,440200,306900,13300,19800,2900,289600,1550500,10600,5100,40600,367700,33100,143100,37700,41600,544800,80300,809600,27100,83000,34000,1322200,693600,131000,1301200,261200
AoLiGei,5000,11400,10700,15000,0,56600,0,45400,25000,21100,28600,25900,24800,0,2500,0,23200,25200,1900,0,0,1700,3000,15600,0,0,24000,14900,29300,2100,3100,2200,46600,30800,2400,48800,10800
Akulyat,102200,126900,145700,271400,18900,731800,82400,622900,403500,265300,479900,378900,216900,5300,24600,0,265700,850500,12900,5800,28700,205400,17000,120400,28700,34800,432800,145800,635700,45600,65500,42700,1100900,830000,147000,1002600,237700
Ji_Kuai,52400,65800,31100,139000,9200,530200,34800,426800,288100,179700,214800,229900,162900,1800,28000,0,161300,591600,6900,3000,15600,170400,10700,61400,27300,75900,312200,20200,389600,10800,38300,21900,830900,475800,84300,765100,202700
Potassium,76900,114800,85600,264600,23400,709800,58900,555400,360300,337400,390100,311600,275200,3000,46300,0,229100,642600,10300,10100,29900,195400,5300,103300,24600,114300,394900,69200,551300,26700,109400,46100,1093700,710600,95300,1140900,231300
Pyqe,148100,172100,128500,355800,34900,1324600,115300,884500,631700,432300,670900,631700,400200,5300,29800,4500,513400,1348300,21200,9500,53500,360200,29400,176100,41100,64700,657500,109200,1093000,48600,98100,46300,1711200,982300,245700,1513200,386900
cs71107,40400,37100,23000,74500,7700,247300,21500,244700,177800,131400,150100,127900,78200,1600,6300,0,90600,406200,11800,3000,2300,108600,3100,36200,15000,1000,217900,8000,233400,2400,23700,13500,551000,310700,60900,470800,104900
Test2311,96600,56300,58000,140400,24400,678400,62700,540100,390600,294400,431300,362100,189200,6600,7100,0,254400,870000,10100,3200,20200,236700,15100,98400,32400,16900,401500,54900,533600,21700,54800,28800,1169500,774300,119500,1012700,215300
tute7627,131700,157700,108600,341600,67400,1180600,134600,747100,631600,381500,720600,618400,363700,5200,72000,0,475100,971700,18300,14000,57500,353900,23100,167000,46000,0,554700,116300,1105600,47100,92700,54100,1499400,889800,265500,1255000,330500
khiro,33400,18500,28800,66500,7000,275200,20500,373500,232600,179900,180100,132600,85400,7200,0,0,93800,790400,3400,3200,1800,186000,2900,44000,15000,23600,296500,11400,255800,10500,35200,9400,736200,387300,62600,656600,132000
edenooo,78500,107200,71500,212200,34500,626300,76100,469100,278700,199400,335200,270400,194000,0,33300,0,221900,488100,3400,8000,33000,167100,6700,74100,34200,11100,330000,58600,538400,27100,95700,18400,801100,575200,107000,723300,242300
RUSH_D_CAT,157700,150200,104500,262700,61100,1075300,122400,671900,537700,409500,572100,520200,389700,4400,59400,0,400700,946700,23400,15100,64000,310200,21800,142800,34100,7100,428200,129600,848900,45600,83300,59300,1152900,755200,190500,1279200,240700
AhmedEzzatG,73900,50500,28300,168200,49500,518400,42500,452400,269400,228100,234100,217200,119300,3300,9300,2000,124000,759000,4100,0,18600,218300,15900,47600,13600,4700,308300,43200,401600,13400,44600,3600,752700,336700,87000,671400,169400
wery0,98700,220600,108700,332900,24600,1101100,107600,624700,357100,285900,300800,326400,139000,4700,83900,0,729700,751500,3400,1000,23400,191300,75000,77000,20900,24800,366900,77800,1277300,21000,49300,16100,886000,565700,105600,905700,175300
FelixArg,48500,58300,54400,169000,16500,687900,49000,445900,320900,276200,287900,259700,184600,0,13600,0,188200,548900,11100,8400,20300,158300,7200,88000,41500,42600,300800,52200,470000,22400,27400,30500,884900,496200,97600,810800,215600
fallleaves01,9100,64400,20800,65600,7200,231000,24100,163300,90800,97000,116900,86900,76700,0,19700,0,99500,145000,5800,4700,6500,51000,0,40900,1700,0,89800,7500,176900,6700,10600,16500,202100,132000,24200,225800,52400
MarZwEins,0,6000,8800,3800,0,32000,1900,21900,18100,19000,18300,14500,5200,0,0,0,11500,26100,1900,0,2300,6900,0,4800,0,0,20200,800,18400,0,0,0,53000,30600,7800,45000,8600
YouKn0wWho,159200,221900,89200,350500,77300,1010800,133800,702100,407900,474000,499900,390400,327400,4800,149000,2000,412400,988000,13200,25600,63800,416900,47500,136500,40500,12600,459900,121500,969900,53800,40800,78500,1046900,587500,160100,1341700,272500
Ashishgup,167400,132200,77800,311200,26100,1319300,114700,917400,734600,505600,649300,608900,397600,14800,29800,2000,391900,1551700,18800,32700,70300,419300,23800,177600,46400,34400,659800,136600,879400,20300,143200,66000,1529500,819000,194300,1678600,327300
sdssudhu,24300,28500,23200,45100,9200,233700,19800,209200,151200,96400,120500,103900,63400,3000,2600,0,72900,378400,1900,2200,5800,102000,2100,34700,6500,3700,160800,8100,210200,5500,20800,3700,462200,220900,35300,371700,90600
LYC_music,57300,85700,91300,186700,27000,611000,56200,362700,286000,180000,320100,263200,184100,0,16700,0,229300,382500,8600,7800,34000,152300,24000,95500,13000,5900,309500,49900,574100,25300,32800,25500,750900,559100,104700,684700,164800
Siberian,121900,114800,137300,122600,36000,589800,64600,395300,306600,191800,208400,175500,209800,6900,33800,0,281200,581600,3900,5900,7900,178600,11100,67300,39900,59400,277000,49100,728500,22000,20100,17300,640800,406700,70200,609800,186900
andr0901,46500,51100,49600,101000,7500,362200,41600,371500,277700,200300,225700,169600,93100,3700,2000,0,121000,588500,7700,5200,18600,141700,8800,72900,20200,35600,302100,10200,339900,14000,35100,15600,806800,456400,77400,671300,163500
HealthyUG,108900,101800,59200,230600,14400,784900,74400,531400,433900,316900,407500,387400,214800,1500,27400,2000,338700,815700,11900,11300,54800,245000,13300,115700,23100,9700,381100,84700,793000,24700,90300,49300,897300,515300,152200,908500,220500
hu_tao,87200,108800,108600,331000,47800,933400,117200,679200,444800,326900,531800,447400,226300,1600,13300,0,275300,928300,15200,5200,32700,298900,19800,144800,42100,51900,524000,75600,710400,35900,65800,41500,1348400,798800,130700,1135200,300000
nikilrselvam,18700,15800,11500,39900,12600,164000,10400,100600,69500,101300,54900,40000,37900,0,12500,0,38300,135100,3400,0,2100,47700,2100,16900,4300,0,113000,1900,136600,3600,11100,7000,218300,159400,15800,272300,47300
no_,1500,7200,5300,3800,0,20100,0,10800,15700,6500,10700,2200,5000,0,0,0,9100,13100,1900,0,0,2000,0,3700,0,0,18300,0,13700,2200,0,4000,18400,26300,7900,22200,7000
yorky,33700,79600,46200,161300,17200,657000,48600,463100,364800,236200,332800,306600,148300,3000,4300,2000,230400,735000,5700,2800,20500,221000,15600,100100,22700,54800,371100,15200,529100,16300,26000,14500,1006000,471000,108700,749100,221700
